title,company,site,it_role_type,city,final_tech_stack
Cloud Engineer Microsoft 365,Dinotronic AG,ITViec,Cloud Engineer,Hồ Chí Minh,
System Engineer,Samsung Electronics HCMC CE Complex,ITViec,System Engineer,Hồ Chí Minh,"C, Docker, C++, Python, C#"
Technical Project Manager,Ahamove,ITViec,Technical Project Manager,Hồ Chí Minh,"Agile, Not Specified"
UI-UX Designer,Designveloper (DSV),ITViec,Other IT Role,Hồ Chí Minh,Aws
Senior Product Manager/Senior Technical Product Manager,LeapXpert,ITViec,Product Manager,Hồ Chí Minh,"Agile, Not Specified"
Fx Artist,Công ty TNHH Marketing Metas Group,ITViec,Other IT Role,Hà Nội,
Senior QA Engineer,ELCA,ITViec,QA Engineer,Hồ Chí Minh,Agile
Automation QA Engineer,Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),ITViec,Automation QA Engineer,Hà Nội,"Typescript, Docker, Javascript, Agile, C#"
QA - Middle / Senior,Droppii,ITViec,QA Engineer,Hồ Chí Minh,Not Specified
Senior Android Software Engineer,FPT Software,ITViec,Mobile Developer,Hà Nội,"Agile, Kotlin"
Database Operations Engineer,SHINHAN DS,ITViec,Database Engineer,Hồ Chí Minh,Not Specified
Chuyên viên Hỗ trợ ứng dụng,SSI Securities Corporation,ITViec,Other IT Role,Hồ Chí Minh,Not Specified
Software Developer,Công Ty TNHH Mi-Jack Manufacturing Global Viet Nam,ITViec,Software Developer,Hồ Chí Minh,"Sql, Docker, Javascript, Agile, Aws, React, Python, Java, C#"
[Fresher] AI/Machine Learning Engineer,Eatlab co Ltd,ITViec,AI Engineer,Hồ Chí Minh,Python
Software Security Engineer,LG Electronics Development Vietnam (LGEDV),ITViec,Software Security Engineer,Hà Nội,Agile
Frontend Developer,"Công ty TNHH Công Nghệ, Giải Trí và Truyền Thông EVOLUX",ITViec,Frontend Developer,Hồ Chí Minh,"React, Html, Javascript, Css"
15 [Middle/Senior] Fullstack,RIKKEISOFT,ITViec,Full-stack Developer,Hà Nội,"Docker, Java, Agile, Python"
Senior Engineering Manager,Reforged Labs,ITViec,Engineering Manager,Hồ Chí Minh,"Golang, Agile, Python"
Hybrid QA Engineer,Elisoft,ITViec,QA Engineer,Hồ Chí Minh,"Typescript, Javascript, Python, Java, Agile"
Data Engineer - Digital Banking,TymeX,ITViec,Data Engineer,Hồ Chí Minh,"Aws, Agile, Sql, Python"
Business Analyst,CÔNG TY CỔ PHẦN AUTHENTIC EDUCATION HUB,ITViec,Business Analyst,Hà Nội,
Software Developer,CÔNG TY TNHH CÔNG NGHỆ SỐ VÀ CHUYỂN ĐỔI SỐ Y TẾ,ITViec,Software Developer,Hà Nội,"C#, Sql, Html, Css"
Bridge Software Engineer,Vietlink,ITViec,Bridge Software Engineer,Hồ Chí Minh,"Aws, Not Specified"
06 Java Developers,Seatech,ITViec,Java Developer,Hà Nội,"Java, Javascript, Sql"
DevOps Engineer,LG Electronics Development Vietnam (LGEDV),ITViec,DevOps Engineer,Hà Nội,"Docker, C++, Python, Java, Agile"
Senior Business Analyst,Công ty Cổ phần Giải pháp Quản lý SSG,ITViec,Business Analyst,Hà Nội,Sql
Senior QA Engineer,AKILA,ITViec,QA Engineer,Hà Nội,Python
Senior QA/QC Engineer,"MONEY FORWARD VIETNAM CO.,LTD",ITViec,QA Engineer,Hồ Chí Minh,"Agile, Not Specified"
[Global Market] 02 DevOps Engineer & Infra,RIKKEISOFT,ITViec,DevOps Engineer,Hà Nội,"Docker, Not Specified"
Engineering Manager,NAB Innovation Centre Vietnam,ITViec,Engineering Manager,Hồ Chí Minh,"Java, Aws, Agile, Javascript"
Deputy head of Data Services development,LYNKID JSC,ITViec,Deputy Head of Data Services,Hà Nội,"Sql, Docker, Aws, Python, Java"
Junior IT Support,Crossian,ITViec,IT Support,Hà Nội,"Aws, Not Specified"
Senior/Lead PHP Engineer,Fastboy Marketing,ITViec,Software Engineer,Hồ Chí Minh,"Aws, Docker, Php, Agile"
CVCC Phát triển Ứng dụng kênh ngân hàng số,Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),ITViec,Backend Developer,Hà Nội,".Net, Sql, Aws, Java, Agile"
Mobile Developer,Daoukiwoom Innovation,ITViec,Mobile Developer,Hồ Chí Minh,"Javascript, Agile, React, Html, Css"
Product Owner,Got It,ITViec,Product Owner,Hồ Chí Minh,
Senior IT Executive,ParkCity Hanoi,ITViec,IT Manager,Hà Nội,Not Specified
UI/UX Designer,Fullerton Health,ITViec,UI/UX Designer,Hồ Chí Minh,
Software Engineer – Mining Machine & Mass Production,Công ty TNHH NBIV,ITViec,Software Engineer,Hồ Chí Minh,"C++, C"
Solution Architect,"CyberLogitec Vietnam Co., Ltd.",ITViec,Solution Architect,Hồ Chí Minh,"Docker, Aws, Javascript"
Chuyên Viên Phát Triển Ứng Dụng,Ngân hàng TMCP Lộc Phát Việt Nam LPBank,ITViec,Backend Developer,Hà Nội,"Java, Sql"
Frontend Developer,CA ADVANCE VIETNAM,ITViec,Frontend Developer,Hồ Chí Minh,"Javascript, Agile, Aws, Html/Css, Html, Css"
Business Analyst,CÔNG TY CỔ PHẦN ICORP,ITViec,Business Analyst,Hà Nội,
Security Engineer -,MB Bank,ITViec,Security Engineer,Hà Nội,"Perl, Bash, Python, Powershell, Java"
Business Analyst,MB Bank,ITViec,Business Analyst,Hà Nội,Agile
Women Leadership in Tech,Bosch Global Software Technologies Company Limited,ITViec,Other IT Role,Hồ Chí Minh,
Sr/Mid Fullstack Developer,ATHENA GROUP,ITViec,Full-stack Developer,Hà Nội,"Typescript, Sql, Javascript, Node.Js, Golang, Html, Css"
Senior/Team Lead Product Designer,Ahamove,ITViec,Product Designer,Hồ Chí Minh,
Senior C++ Software Engineer - Salary up to $3000,FPT Software,ITViec,Software Engineer,Hà Nội,"C++, C"
Senior AI Engineer,NBG HIGHTECH,ITViec,AI Engineer,Hà Nội,"Aws, Python, Pytorch, Tensorflow"
Remote -Sr. React Native Engineer,SourceCode,ITViec,Mobile Developer,Not Specified,"Typescript, Javascript, React, Java, Agile, Css"
Developer Experience Engineer,"Rakuten Fintech Vietnam Co., Ltd.",ITViec,Developer Experience Engineer,Hồ Chí Minh,"Docker, Aws"
E-commerce Business Developer,CÔNG TY CỔ PHẦN CỘNG ĐỒNG SỐNG HẠNH PHÚC,ITViec,E-commerce Business Developer,Hồ Chí Minh,
Full Stack Developer,LG CNS Việt Nam,ITViec,Full-stack Developer,Hà Nội,"Javascript, Aws, React, Python, Java, Html"
Flutter Developer,Công ty Cổ phần Thể thao PickoNow,ITViec,Mobile Developer,Hồ Chí Minh,"Docker, Dart"
Backend Java Developer,CÔNG TY CỔ PHẦN AUTHENTIC EDUCATION HUB,ITViec,Backend Developer,Hà Nội,"Java, Agile"
Technical Support Engineer - Java & C++,Murex,ITViec,Technical Support Engineer,Hồ Chí Minh,"Java, Sql, Python, C++"
Tester,GemCommerce,ITViec,QA Engineer,Hà Nội,"Agile, Not Specified"
Business Analyst,AILOGY,ITViec,Business Analyst,Hồ Chí Minh,Agile
[Da Nang & Ho Chi Minh] QA Engineer,ONE Tech Stop Vietnam Company Ltd,ITViec,QA Engineer,Đà Nẵng,Agile
Trưởng phòng tư vấn triển khai ERP,Bolt Tech,ITViec,IT Project Manager,Hà Nội,Not Specified
Senior Native Mobile Developer,Regen Technology Limited,ITViec,Mobile Developer,Ho Chi Minh,"Swift, Kotlin"
AI Talents,NEXON DEV VINA,ITViec,AI Engineer,Hồ Chí Minh,"Aws, Python"
"Full Stack Developer - Java, Spring",NEW IT,ITViec,Full-stack Developer,Hồ Chí Minh,"Sql, Docker, Aws, React, Java, Agile"
QA Engineer,Aperia Solutions Vietnam Co Ltd,ITViec,QA Engineer,Hồ Chí Minh,"Agile, Sql, Not Specified"
React Native developer,Cigro Inc.,ITViec,Frontend Developer,Hồ Chí Minh,"React, Typescript, Javascript, Agile"
Senior .NET Developer,Titan DMS,ITViec,Backend Developer,Hồ Chí Minh,"Javascript, C#, Sql, Agile"
Mid/Sr Java Developer,"Rakuten Fintech Vietnam Co., Ltd.",ITViec,Java Developer,Hồ Chí Minh,"Java, Sql"
VIC - Process Quality Assurance,Viettel Group,ITViec,QA Engineer,Hà Nội,Agile
Cloud Security Engineer,Resola Inc,ITViec,Cloud Security Engineer,Hà Nội,"Aws, Not Specified"
"[Middle, Senior] Mobile Developer",MB Bank,ITViec,Mobile Developer,Hà Nội,"Xcode, React, Java, Dart, Swift"
Java Web Developer,CODE88 COMPANY LIMITED,ITViec,Java Web Developer,Hồ Chí Minh,"Java, Javascript, Sql"
Devops Engineer,Digital Unicorn,ITViec,DevOps Engineer,Đà Nẵng,"Docker, Aws, Bash, Python"
Senior .NET Enginer,ELCA,ITViec,Software Engineer,Hồ Chí Minh,"Docker, C#, Agile"
Backend Developer,FireAnt JSC,ITViec,Backend Developer,Hà Nội,"Sql, Node.Js, Python, Java, Php"
Expert/Senior Java Developer,Techcombank,ITViec,Backend Developer,Hà Nội,"Java, Aws, Agile, Sql"
Cloud Business Development Manager,Huawei,ITViec,Cloud Business Development Manager,Hà Nội,Not Specified
Game LivOps Manager,WORLD OF NEOPETS LIMITED,ITViec,Game LivOps Manager,Hồ Chí Minh,"Php, Node.Js"
Senior Process Quality Assurance,Hitachi Digital Services,ITViec,QA Engineer,Hồ Chí Minh,
Senior Frontend Engineer,Skedulo Vietnam,ITViec,Frontend Developer,Hồ Chí Minh,"Agile, Javascript, Css"
Quality Engineer Lead,Crossian,ITViec,QA Engineer,Hà Nội,"Java, Agile, Javascript"
Technical Expert,Bosch Global Software Technologies Company Limited,ITViec,Technical Expert,Hà Nội,Not Specified
Data Engineer,Digital Intellect,ITViec,Data Engineer,Hà Nội,"Sql, Python"
Senior Fullstack Developer,Fastcare,ITViec,Full-stack Developer,Hồ Chí Minh,"C#, Javascript, Sql"
Senior Full-Stack Developer,Aperia Solutions Vietnam Co Ltd,ITViec,Full-stack Developer,Hồ Chí Minh,"Sql, Docker, Javascript, Agile, Aws, React, C#"
Automation Specialist,Business4you AG,ITViec,Automation Specialist,Hồ Chí Minh,"Docker, Sql, Python, Nodejs"
Junior Front-End Developer,Entetsu Việt Nam,ITViec,Frontend Developer,Hà Nội,"Javascript, Html/Css"
Cloud DevOps Lead,FWD VTC,ITViec,Cloud DevOps Lead,Hồ Chí Minh,"Docker, Node.Js, Aws, Python, Java"
IT Business Analyst,Dai-ichi Life Việt Nam,ITViec,Business Analyst,Hồ Chí Minh,Sql
Quality Control TeamLead,VNDIRECT,ITViec,Quality Control TeamLead,Hà Nội,Agile
Senior QC Engineer,Ahamove,ITViec,QA Engineer,Hồ Chí Minh,
Senior Backend Developer,IVC (ISB Vietnam),ITViec,Backend Developer,Hồ Chí Minh,"Docker, Javascript, Aws, React, Python, Java, Php"
Project Manager/Scrum Master,Floating Cube Studios,ITViec,IT Project Manager,Hồ Chí Minh,Agile
Senior Fullstack Developer,Endava Việt Nam,ITViec,Full-stack Developer,Hồ Chí Minh,"Sql, Javascript, Agile, React, Python, C#"
Software Engineer,Mynavi TechTus Vietnam,ITViec,Software Engineer,Hồ Chí Minh,"Sql, Html, Docker, Javascript, Agile, F#, Aws, C#, Css"
Back-end Developer,Công ty Cổ phần Chứng khoán VPBank,ITViec,Backend Developer,Hà Nội,"Java, Agile, Sql"
"[Middle, Senior] Java Backend Developer",MB Bank,ITViec,Backend Developer,Hà Nội,"Java, Docker"
AI Engineer,Công ty TNHH Theta Universe Media,ITViec,AI Engineer,Hà Nội,
Front End Developer,LG CNS Việt Nam,ITViec,Frontend Developer,Hà Nội,"Html, Javascript, Html/Css, Css"
Odoo Developer,Suoi Tien Theme Park Official,ITViec,Odoo Developer,Hồ Chí Minh,"Aws, Javascript, Python"
Triển khai phần mềm,CÔNG TY CỔ PHẦN ONEMEDIC,ITViec,Other IT Role,Hồ Chí Minh,"Docker, Sql"
Fullstack Developer,Rexy Technology,ITViec,Fullstack Developer,Hồ Chí Minh,"React, Sql, Javascript, Ruby"
Mobile Developer,9PAY,ITViec,Mobile Developer,Hà Nội,Dart
Business Analyst,Extreme Việt Nam,ITViec,Business Analyst,Hà Nội,
IS Specialist,Andros Vietnam - Công Ty TNHH Sản Xuất Trái Cây Hùng Phát,ITViec,IS Specialist,Hồ Chí Minh,"Java, C#, Sql"
IT Administrator,Faraday Technology Vietnam,ITViec,IT Administrator,Hồ Chí Minh,
Java Web Developer,VNPT EPAY,ITViec,Java Web Developer,Hà Nội,"Sql, Javascript, Html/Css, Java, Html, Css"
VTS - Tư Vấn Giải Pháp - Presales Engineer,Viettel Group,ITViec,Presales Engineer,Hà Nội,
Senior Backend Developer,CUBICSTACK SOLUTIONS,ITViec,Backend Developer,Hồ Chí Minh,"Aws, Php, Agile"
AI Analyst,Parcel Perform,ITViec,AI Analyst,Hồ Chí Minh,"Sql, Python"
IT Infrastructure Manager,DIGI-TEXX VIETNAM,ITViec,IT Manager,Hồ Chí Minh,"Docker, Not Specified"
Chuyên viên Quản trị hệ thống Corebanking,VRB,ITViec,Other IT Role,Hà Nội,Sql
Leader Tester Engineer,IZISOLUTION,ITViec,Leader Tester Engineer,Hà Nội,
Manual QC,OTS,ITViec,QA Engineer,Hà Nội,
HO - CVCC Vận hành và giám sát hệ thống CNTT,Ngân hàng TMCP Phương Đông | OCB,ITViec,IT Operations Specialist,Hồ Chí Minh,"Docker, Aws, Not Specified"
Lead Engineer,Flodesk,ITViec,Lead Engineer,Đà Nẵng,"Javascript, Aws, Go, React, Agile"
Senior Full-Stack Developer,Aperia Solutions Vietnam Co Ltd,ITViec,Full-stack Developer,Hồ Chí Minh,".Net, Sql, Docker, Javascript, Aws, React, Agile"
Google Cloud Platform Cloud Engineer - Hà Nội,Cloud Ace,ITViec,Cloud Engineer,Hà Nội,"Aws, Bash, Python, Powershell"
Software QA Project Manager,CÔNG TY TNHH DỊCH VỤ GIÁ TRỊ GIA TĂNG GOLDENGATE,ITViec,Software QA Project Manager,Hà Nội,Agile
Remote Java Developer - Spring/JQuery/J2EE,Arch Partnership Limited,ITViec,Backend Developer,Hồ Chí Minh,"Java, Sql"
Mobile App Developer,CodeLink,ITViec,Mobile Developer,Hồ Chí Minh,"Javascript, Agile, React, Python, Html/Css, Html, Css"
CV Kiến trúc An toàn TT- Information Security Architect,MB Bank,ITViec,Information Security Architect,Hà Nội,
Senior Frontend Developer,"ANDPAD VietNam Co., Ltd",ITViec,Frontend Developer,Hồ Chí Minh,"Typescript, Aws, Html/Css, Html, Css"
[Ho Chi Minh & Da Nang] Product Owner,ONE Tech Stop Vietnam Company Ltd,ITViec,Product Owner,Hồ Chí Minh,"Agile, Not Specified"
Engineering Manager,"MONEY FORWARD VIETNAM CO.,LTD",ITViec,Engineering Manager,Hồ Chí Minh,"Golang, Java, Agile, Ruby"
"[Middle, Junior] Java Backend Developer",MB Bank,ITViec,Backend Developer,Hà Nội,"Java, Docker"
Information Security & IT Helpdesk Manager/ Specialist,"MONEY FORWARD VIETNAM CO.,LTD",ITViec,Information Security & IT Helpdesk Manager,Hà Nội,
Techlead Fullstack Java,VMO Holdings,ITViec,Tech Lead,Hà Nội,"Java, Docker"
Fullstack Developer,VeXeRe,ITViec,Fullstack Developer,Hồ Chí Minh,"React, Javascript"
Senior PHP Developer,Ambition Vietnam,ITViec,Backend Developer,Hồ Chí Minh,"Sql, Docker, Javascript, Aws, Php"
Developer Manager,Nakivo,ITViec,Developer Manager,Hồ Chí Minh,"Java, Agile"
Automation Tester,Endava Việt Nam,ITViec,QA Engineer,Hồ Chí Minh,"Sql, Javascript, Agile, Aws, Python, Java, C#"
NodeJS Developer,CÔNG TY CỔ PHẦN ICORP,ITViec,Backend Developer,Hà Nội,"Html, Javascript, Sql, Css"
Senior Automation Quality Engineer,FuelCloud,ITViec,QA Engineer,Hồ Chí Minh,"Agile, Not Specified"
Mobile Developer,Công Ty Phần Mềm ONEADX,ITViec,Mobile Developer,Hà Nội,"React, Kotlin"
"Senior/Junior, Application Operator",Techcombank,ITViec,Application Operator,Hà Nội,Agile
Technical Art Lead,VNGGames,ITViec,Technical Art Lead,Hồ Chí Minh,"Python, Not Specified"
Technical Business Analyst,GKIM DIGITAL,ITViec,Technical Business Analyst,Hồ Chí Minh,Sql
QA Engineer,NAB Innovation Centre Vietnam,ITViec,QA Engineer,Hồ Chí Minh,"Typescript, Docker, Javascript, Aws, Java, Agile"
Embedded AI Engineer,Motorola Solutions,ITViec,Embedded Engineer,Hồ Chí Minh,"C++, Python, C"
Sr Fullstack Developer,CÔNG TY CỔ PHẦN CITICS,ITViec,Fullstack Developer,Hồ Chí Minh,"Java, Typescript, Sql, Agile"
Senior Solution Architect & Tech Director,Ogilvy,ITViec,Solution Architect,Hồ Chí Minh,"Typescript, Javascript, Aws, Go, React, Python, Java, Php, Css"
Software Engineer,LG Electronics Development Vietnam (LGEDV),ITViec,Software Engineer,Hà Nội,"C++, Agile"
Outsystems Solution Architect,S3 Innovate,ITViec,Solution Architect,Hồ Chí Minh,Not Specified
Automation Test Engineer,LG Electronics Development Vietnam (LGEDV),ITViec,Automation Test Engineer,Hà Nội,"Agile, Python"
Business Analyst,Công ty cổ phần LifeteX,ITViec,Business Analyst,Hà Nội,Agile
Quản lý rủi ro an toàn thông tin,VietinBank,ITViec,Cybersecurity Specialist,Hà Nội,
API Integration Engineer,TymeX,ITViec,API Integration Engineer,Hồ Chí Minh,"Java, Go, Python, Agile"
Backend Developer - Software Engineer,NEXDOR VIET NAM,ITViec,Backend Developer,Hồ Chí Minh,"Golang, Aws, Docker, Nodejs"
Automation Tester Engineer,SSI Securities Corporation,ITViec,Automation Tester Engineer,Hà Nội,"Javascript, Agile, Aws, Python, Java, C#"
,Neos Việt Nam,ITViec,Frontend Developer,Hà Nội,"Html5, Javascript, Java, C#, Swift"
CyberSecurity Solution Engineer,Motorola Solutions,ITViec,Cybersecurity Specialist,Hồ Chí Minh,"Aws, Agile, Sql"
Platform Engineering,DatVietVAC,ITViec,Backend Developer,Hồ Chí Minh,"Docker, Golang, Node.Js, Python"
Medior/ Senior Backend Engineer - IDG,NAB Innovation Centre Vietnam,ITViec,Backend Developer,Hồ Chí Minh,"Java, Aws, Agile, Python"
Senior .NET Developer,HRS Group,ITViec,Backend Developer,Hồ Chí Minh,"Html, Not Specified, Agile, React, C#, Css"
Android Engineer,Datalogic Việt Nam,ITViec,Mobile Developer,Hồ Chí Minh,"Java, Agile, Kotlin"
[Remote/Hybrid] Backend Engineer,Semrush,ITViec,Backend Developer,Hồ Chí Minh,"Docker, Aws, Java, Golang, Scala"
DevOps Engineer,mgm technology partners Vietnam,ITViec,DevOps Engineer,Đà Nẵng,"Java, Aws, Javascript, Docker"
Backend Developer,Bamboo Software,ITViec,Backend Developer,Hà Nội,"Node.Js, Aws, React, Python, Java, Php, Agile"
Crawling Engineer,LG CNS Việt Nam,ITViec,Software Engineer,Hà Nội,"Sql, Aws, Python, Java, Agile"
2 .NET Developer,Vega Corporation,ITViec,Backend Developer,Hà Nội,"Sql, Html, Javascript, Html/Css, C#, Css"
Backend/ Cloud Engineer,Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),ITViec,Backend Engineer,Hà Nội,"Java, Aws, Javascript, Sql"
Business System Analyst,Capgemini Vietnam,ITViec,Business Analyst,Hồ Chí Minh,"Java, Agile"
Fulltime Remote Fullstack Javascript/Typescript/NodeJS,CoderPush,ITViec,Full-stack Developer,Hồ Chí Minh,"Typescript, Javascript, Aws, React, Agile"
Senior Full-Stack Developer,S3 Innovate,ITViec,Full-stack Developer,Hồ Chí Minh,"Typescript, Sql, Javascript, React, Html, Css"
Front End Developer,VIMES,ITViec,Frontend Developer,Hà Nội,"C++, Typescript, Javascript"
Staff Fullstack AI Engineer,Renesas Design Vietnam,ITViec,Full-stack Developer,Hồ Chí Minh,"Aws, React, Python"
QA Engineer,CODE LEAP,ITViec,QA Engineer,Hồ Chí Minh,"React, Agile, Javascript"
[Healthcare] Data Engineer,FPT Software,ITViec,Data Engineer,Hà Nội,"Java, Aws, Sql, Python"
Software Architect,RAON World Solution Pte. Ltd.,ITViec,Software Architect,Hồ Chí Minh,Aws
Software Development Manager,CÔNG TY TNHH BPO INFINITY INNOVATIONS GROUP,ITViec,Software Development Manager,Hồ Chí Minh,Javascript
Tech Lead – IP Telephony/VoIP Systems,K&M Holdings,ITViec,Tech Lead,Hà Nội,"C, Node.Js, C++, Python, Agile"
Senior Data Analyst,Simple Tech Investment,ITViec,Data Analyst,Hồ Chí Minh,"Aws, Sql, Python"
Back-end Engineer,Teko Vietnam,ITViec,Backend Developer,Hà Nội,"Docker, Javascript, Python, Java, Golang, Agile"
DevSecOps Engineer,MB Bank,ITViec,DevSecOps Engineer,Hà Nội,"Docker, Agile, Sql, Not Specified"
Senior Technology Manager,Onpoint,ITViec,IT Manager,Hồ Chí Minh,"Aws, Agile, Python"
Security Solutions,ASIC Technologies,ITViec,Cybersecurity Specialist,Hà Nội,"Aws, Not Specified"
ReactJS Developer - Level Middle,VOYAGER INC,ITViec,Frontend Developer,Hồ Chí Minh,"Css3, Html5, Docker, Javascript, React, Php, Agile"
HO - CVCC Phát triển ứng dụng thẻ,Ngân hàng TMCP Phương Đông | OCB,ITViec,Backend Developer,Hồ Chí Minh,"Golang, Docker"
QA/QC/Tester,Forix,ITViec,QA Engineer,Hồ Chí Minh,
Project Manager Tiếng nhật  N2,DTS Software Vietnam,ITViec,IT Project Manager,Hà Nội,"Java, Agile"
Cloud Platform Engineer,Resola Inc,ITViec,Cloud Engineer,Hà Nội,Aws
Senior Fullstack TypeScript Developer,Công ty TNHH Công Nghệ - Thương Mại Mây,ITViec,Full-stack Developer,Hồ Chí Minh,"Docker, Aws, Typescript, React"
Leader for Platform Team,FPT Software,ITViec,Embedded Engineer,Hồ Chí Minh,"C++, C"
Mobile Android App Dev,Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),ITViec,Mobile Developer,Hà Nội,"Kotlin, React, Java, Agile, Swift"
Trưởng Phòng Phát Triển Sản Phẩm,Công ty Cổ phần Đầu tư và Thương mại Quốc tế Icom,ITViec,Product Manager,Hà Nội,
Junior/Middle Automation Tester,MAXIMUS SOLUTION COMPANY LIMITED,ITViec,Automation Tester,Hồ Chí Minh,Python
Smart Contract Engineer,Bacoor Vietnam,ITViec,Smart Contract Engineer,Hồ Chí Minh,"Typescript, Solidity"
AI Engineer,Veriserve Việt Nam,ITViec,AI Engineer,Hà Nội,"C++, Agile, Python"
Business Analyst/BrSE,Veriserve Việt Nam,ITViec,Business Analyst,Hà Nội,Not Specified
Software Engineer C++,MiTek Viet Nam,ITViec,Software Engineer,Hồ Chí Minh,"C++, C#, Agile"
Sr Robotics Simulation Engineer,Kambria & OhmniLabs Vietnam,ITViec,Simulation Engineer,Hồ Chí Minh,Python
Techlead Backend,VMO Holdings,ITViec,Tech Lead,Not Specified,"Java, Javascript, Docker"
Senior Golang Developer,"Thunder Solutions Co., Ltd.",ITViec,Backend Developer,Hồ Chí Minh,"Java, Go, Sql, Docker"
"[Middle, Senior] Java FullStack Developer",MB Bank,ITViec,Full-stack Developer,Hà Nội,"Java, Docker"
Business Analyst,SSI Securities Corporation,ITViec,Business Analyst,Hà Nội,
[English] Scrum Coordinator/ Agile Project Coordinator,Laidon Group,ITViec,Scrum Coordinator,Hồ Chí Minh,"Agile, Not Specified"
Senior Frontend Engineer,Reforged Labs,ITViec,Frontend Developer,Hồ Chí Minh,"React, Typescript, Javascript, Agile"
Senior Backend Developer NodeJS,Kingfoodmart,ITViec,Backend Developer,Hồ Chí Minh,"Docker, Nodejs"
Fullstack Developer,"Allgrowlabo Co.,Ltd.",ITViec,Fullstack Developer,Hồ Chí Minh,"Php, Html, Javascript, Css"
Mid - Senior Quality Engineer,Katalon,ITViec,Quality Engineer,Hồ Chí Minh,"Java, Agile, Groovy"
"Remote - Backend Developer, Golang",Softly LLC,ITViec,Backend Developer,Hà Nội,"Golang, Docker"
Data Scientist,Motorola Solutions,ITViec,Data Scientist,Hồ Chí Minh,"Sql, Python"
Backend Developer,"NEYU Ltd.,",ITViec,Backend Developer,Hồ Chí Minh,"Docker, Java, Golang, Php, Agile"
StarCamp Security Engineer,NAB Innovation Centre Vietnam,ITViec,Cybersecurity Specialist,Hồ Chí Minh,Agile
US/UK Market- QA Automation Manager,RIKKEISOFT,ITViec,QA Engineer,Hà Nội,"Sql, Not Specified"
Quality Control Lead,FireGroup,ITViec,Quality Control Lead,Hồ Chí Minh,"Docker, Agile, Sql"
02 Senior Full-Stack Engineer,Mycolor Việt Nam,ITViec,Full-stack Developer,Hà Nội,"Typescript, Sql, Docker, Aws, React, Html/Css, Css"
Business Analyst,HDBank,ITViec,Business Analyst,Hồ Chí Minh,Agile
Java Fullstack Developer,TP Entertainment,ITViec,Full-stack Developer,Hà Nội,"Java, Php, Agile, Python"
Backend Team Leader,CarDoctor,ITViec,Backend Team Leader,Hà Nội,"Java, Sql"
